BioSample ID	Experiment type	extraction answer	mapping answer ID	mapping answer label
SAMN12889049	TFs and others	NB69	CVCL:1448	NB69
SAMN12956634	TFs and others	KGN	CVCL:0375	KGN
SAMN13018542	ATAC-Seq			
SAMN13019282	ATAC-Seq			
SAMN13059000	ATAC-Seq	K562	CVCL:0004	K562
SAMN13109377	ATAC-Seq			
SAMN13112111	ATAC-Seq			
SAMN13112379	Histone			
SAMN13113817	Histone	HCT116	CVCL:0291	HCT 116
SAMN13175641	TFs and others	Ramos	CVCL:0597	Ramos
SAMN13223223	Histone	RD cells	CVCL:1649	RD
SAMN13353585	TFs and others	HEC-1-B	CVCL:0294	HEC-1-B
SAMN13451172	ATAC-Seq	Ramos	CVCL:0597	Ramos
SAMN13471392	ATAC-Seq			
SAMN13478071	Histone	STS26T	CVCL:8917	STS-26T
SAMN13511214	ATAC-Seq			
SAMN13512667	ATAC-Seq			
SAMN13521320	TFs and others	WT 9-12	CVCL:K230	WT 9-12
SAMN13616499	ATAC-Seq	MM001		
SAMN13624390	ATAC-Seq			
SAMN13699408	ATAC-Seq	GM11906	CVCL:IN29	GM11906
SAMN13719297	ATAC-Seq	Caski	CVCL:1100	Ca Ski
SAMN13763597	TFs and others	DCIS.com	CVCL:5552	MCF10DCIS.com
SAMN13825206	ATAC-Seq			
SAMN13862411	ATAC-Seq			
SAMN13909477	Histone			
SAMN13927477	Histone	IMR-5	CVCL:1306	IMR-5
SAMN13938363	ATAC-Seq	143B	CVCL:2270	143B
SAMN14048750	ATAC-Seq	SUIT-2	CVCL:3172	SUIT-2
SAMN14049740	ATAC-Seq	NCI-H1944	CVCL:1508	NCI-H1944
SAMN14075079	Histone	SET2	CVCL:2187	SET-2
SAMN14088506	ATAC-Seq			
SAMN14122096	ATAC-Seq	OVCAR8	CVCL:1629	OVCAR-8
SAMN14212260	ATAC-Seq			
SAMN14212272	Histone			
SAMN14322328	Histone	JHRCC12	CVCL:Z029	SK-JHRCC-12
SAMN14322350	ATAC-Seq	JHRCC12	CVCL:Z029	SK-JHRCC-12
SAMN14367258	ATAC-Seq			
SAMN14418622	ATAC-Seq			
SAMN14427981	TFs and others	MKL1	CVCL:2600	MKL-1
SAMN14430459	Histone			
SAMN14439608	TFs and others	PC3	CVCL:0035	PC-3
SAMN14444859	Histone	TEX	CVCL:A5CF	TEX
SAMN14469262	ATAC-Seq			
SAMN14479871	ATAC-Seq			
SAMN14488030	Histone	HSJ-019		
SAMN14556325	ATAC-Seq	T-47D	CVCL:0553	T-47D
SAMN14560635	ATAC-Seq			
SAMN14567275	ATAC-Seq			
SAMN14568362	ATAC-Seq			
SAMN14648043	Histone			
SAMN14655115	Histone	SCC-25		
SAMN14655915	TFs and others			
SAMN14668587	ATAC-Seq	ROSA Kit D816V	CVCL:5G50	ROSA KIT D816V
SAMN14671335	ATAC-Seq	RS411	CVCL:0093	RS4;11
SAMN14671435	Histone			
SAMN14677857	Histone	Im-GCT-4072		
SAMN14777640	ATAC-Seq			
SAMN14783516	Histone	Cal-27	CVCL:1107	CAL-27
SAMN14840221	TFs and others	A375	CVCL:0132	A-375
SAMN14854036	Histone			
SAMN14906822	Histone	M397	CVCL:XK00	M397
SAMN14945322	ATAC-Seq			
SAMN14992810	Histone	JHU LX48		
SAMN14994176	ATAC-Seq	BIN67	CVCL:S987	BIN-67
SAMN15000038	Histone			
SAMN15032517	TFs and others			
SAMN15087049	ATAC-Seq			
SAMN15096394	ATAC-Seq			
SAMN15159705	Histone	SUM-229PE	CVCL:5594	SUM229PE
SAMN15222141	TFs and others	Hudep2	CVCL:VI06	HUDEP-2
SAMN15249460	ATAC-Seq			
SAMN15313622	ATAC-Seq	SW872	CVCL:1730	SW872
SAMN15332213	ATAC-Seq			
SAMN15345787	ATAC-Seq	HT29	CVCL:0320	HT-29
SAMN15367235	ATAC-Seq	SEM	CVCL:0095	SEM
SAMN15419857	TFs and others	LNCaP	CVCL:0395	LNCaP
SAMN15489500	ATAC-Seq			
SAMN15496501	Histone			
SAMN15618047	Histone			
SAMN15664611	TFs and others			
SAMN15676166	Histone	EKVX	CVCL:1195	EKVX
SAMN15815142	ATAC-Seq	MDA-MB-231	CVCL:0062	MDA-MB-231
SAMN15825308	ATAC-Seq	451Lu	CVCL:6357	451Lu
SAMN15825317	Histone	451Lu	CVCL:6357	451Lu
SAMN15831819	ATAC-Seq	NCI-H82	CVCL:1591	NCI-H82
SAMN15865898	TFs and others	KYSE410	CVCL:1352	KYSE-410
SAMN15866933	Histone			
SAMN15889178	ATAC-Seq			
SAMN15904067	ATAC-Seq			
SAMN15934471	Histone	RH30	CVCL:0041	Rh30
SAMN16118405	ATAC-Seq			
SAMN16130003	Histone			
SAMN16213474	ATAC-Seq	L1236	CVCL:2096	L-1236
SAMN16380772	Histone	HeLa	CVCL:0030	HeLa
SAMN16406501	ATAC-Seq			
SAMN16475034	TFs and others	A549	CVCL:0023	A-549
SAMN16483327	ATAC-Seq			
SAMN16483362	Histone			
SAMN16485790	TFs and others	Fujioka		
SAMN16489400	TFs and others			
SAMN16517495	Histone			
SAMN16517672	ATAC-Seq			
SAMN16532773	TFs and others	MM099		
SAMN16563029	ATAC-Seq	H524	CVCL:1568	NCI-H524
SAMN16595824	ATAC-Seq	HPNE	CVCL:C466	hTERT-HPNE
SAMN16597967	ATAC-Seq	Kasumi-1	CVCL:0589	Kasumi-1
SAMN16607276	Histone	U937	CVCL:0007	U-937
SAMN16678000	ATAC-Seq	H9	CVCL:9773	WA09
SAMN16786364	ATAC-Seq			
SAMN16817051	ATAC-Seq			
SAMN16856004	ATAC-Seq			
SAMN16949844	TFs and others	K562	CVCL:0004	K-562
SAMN16981382	ATAC-Seq			
SAMN16989373	TFs and others	SCCOHT-1	CVCL:VU69	SCCOHT-1
SAMN17061504	TFs and others			
SAMN17078476	Histone	GBM002		
SAMN17113198	ATAC-Seq	786-M1A	CVCL:VR30	786-M1A
SAMN17113237	TFs and others	OS-LM1	CVCL:9563	SaOS-LM1
SAMN17120381	ATAC-Seq			
SAMN17126737	ATAC-Seq			
SAMN17131558	ATAC-Seq			
SAMN17147423	Histone			
SAMN17153028	ATAC-Seq			
SAMN17168536	Histone			
SAMN17225421	ATAC-Seq			
SAMN17228531	ATAC-Seq			
SAMN17243154	ATAC-Seq			
SAMN17274720	ATAC-Seq	SKNAS	CVCL:1700	SK-N-AS
SAMN17283437	TFs and others	NB4	CVCL:0005	NB4
SAMN17298123	TFs and others	D458	CVCL:1161	D458 Med
SAMN17315697	Histone	Kasumi-3	CVCL:0612	Kasumi-3
SAMN17316251	TFs and others	16HBE14o-	CVCL:0112	16HBE14o-
SAMN17367676	ATAC-Seq	Miapaca2	CVCL:0428	MIA PaCa-2
SAMN17372974	TFs and others			
SAMN17493275	Histone			
SAMN17493294	ATAC-Seq			
SAMN17610226	ATAC-Seq			
SAMN17615474	ATAC-Seq			
SAMN17677682	TFs and others	A673	CVCL:0080	A-673
SAMN17715038	ATAC-Seq			
SAMN17730112	ATAC-Seq			
SAMN17730295	ATAC-Seq	MiaPaCa2	CVCL:0428	MIA PaCa-2
SAMN17730306	Histone	MiaPaCa2	CVCL:0428	MIA PaCa-2
SAMN17734298	Histone			
SAMN17795665	TFs and others	MCF-7	CVCL:0031	MCF-7
SAMN17799927	ATAC-Seq			
SAMN17804413	Histone	KYSE140	CVCL:1347	KYSE-140
SAMN17987828	TFs and others			
SAMN18016329	ATAC-Seq	BT549	CVCL:1092	BT-549
SAMN18040609	ATAC-Seq	BEAS-2B	CVCL:0168	BEAS-2B
SAMN18042132	ATAC-Seq	NCIH1437	CVCL:1472	NCI-H1437
SAMN18054121	ATAC-Seq			
SAMN18095761	ATAC-Seq			
SAMN18105867	Histone	CAL-120	CVCL:1104	CAL-120
SAMN18128455	RNA polymerase			
SAMN18132881	Histone	H69M		
SAMN18132928	ATAC-Seq	ARPE-19	CVCL:0145	ARPE-19
SAMN18243552	Histone	T47D	CVCL:0553	T-47D
SAMN18290280	ATAC-Seq			
SAMN18350771	ATAC-Seq	HCT116	CVCL:0291	HCT 116
SAMN18513615	TFs and others	HepG2	CVCL:0027	Hep-G2
SAMN18527290	TFs and others			
SAMN18632249	ATAC-Seq			
SAMN18640584	ATAC-Seq	VCaP	CVCL:2235	VCaP
SAMN18737268	ATAC-Seq			
SAMN18740689	ATAC-Seq	Hep3B	CVCL:0326	Hep 3B2.1-7
SAMN18741402	RNA polymerase	DLD-1	CVCL:0248	DLD-1
SAMN18814096	ATAC-Seq	K562	CVCL:0004	K-562
SAMN18823532	ATAC-Seq	SUM149PT	CVCL:3422	SUM149PT
SAMN18926557	TFs and others	HCB1		
SAMN18988606	TFs and others	MM1.S	CVCL:8792	MM1.S
SAMN19014223	TFs and others	DND41	CVCL:2022	DND-41
SAMN19014258	ATAC-Seq	Jurkat E6-1	CVCL:0367	Jurkat E6.1
SAMN19014861	ATAC-Seq	DND41	CVCL:2022	DND-41
SAMN19024211	ATAC-Seq			
SAMN19068356	TFs and others			
SAMN19108920	ATAC-Seq	MM1.S	CVCL:8792	MM1.S
SAMN19128585	ATAC-Seq			
SAMN19190436	TFs and others	G401	CVCL:0270	G-401
SAMN19337104	ATAC-Seq	WI-38	CVCL:0579	WI-38
SAMN19405427	Histone			
SAMN19471087	ATAC-Seq	786-O	CVCL:1051	786-O
SAMN19609147	ATAC-Seq	NALM-6	CVCL:0092	NALM-6
SAMN19644723	ATAC-Seq			
SAMN19656030	ATAC-Seq	LP-1	CVCL:0012	LP-1
SAMN19729820	TFs and others		CVCL:0042	U2OS
SAMN19731419	ATAC-Seq	C4-2B	CVCL:4784	LNCaP C4-2B
SAMN19909850	ATAC-Seq	22Rv1	CVCL:1045	22Rv1
SAMN19909874	TFs and others	22Rv1	CVCL:1045	22Rv1
SAMN19915273	ATAC-Seq			
SAMN19921366	ATAC-Seq	BxPC-3	CVCL:0186	BxPC-3
SAMN19923247	ATAC-Seq	DMS-53	CVCL:1177	DMS 53
SAMN20057201	ATAC-Seq	MOLM13-RES	CVCL:D779	MOLM-13-RES
SAMN20085346	ATAC-Seq			
SAMN20109697	TFs and others	C4-2	CVCL:4782	LNCaP C4-2
SAMN20111665	ATAC-Seq			
SAMN20188952	Histone			
SAMN20189112	Histone			
SAMN20247328	ATAC-Seq	SU-CCS-1	CVCL:B470	SU-CCS-1
SAMN20248383	Histone	DTC1	CVCL:0J31	DTC1
SAMN20350178	TFs and others	RPMI8402	CVCL:1667	RPMI-8402
SAMN20407858	ATAC-Seq	DLD1	CVCL:0248	DLD-1
SAMN20427565	ATAC-Seq			
SAMN20511706	ATAC-Seq	HT1080	CVCL:0317	HT-1080
SAMN20600888	TFs and others	EW8	CVCL:1658	EW-8
SAMN20793198	TFs and others			
SAMN20835385	ATAC-Seq			
SAMN20845859	Histone	SKOV3	CVCL:0532	SK-OV-3
SAMN20867065	ATAC-Seq			
SAMN20867082	Histone			
SAMN20923902	TFs and others	GM23716	CVCL:T803	GM23716
SAMN20990758	ATAC-Seq			
SAMN21171249	ATAC-Seq	42D-ENZR	CVCL:RW50	MR42D
SAMN21369091	ATAC-Seq	SUDH4	CVCL:0539	SU-DHL-4
SAMN21384095	TFs and others	GBM8		
SAMN21418585	TFs and others	IMR32	CVCL:0346	IMR-32
SAMN21445322	ATAC-Seq	IMR32	CVCL:0346	IMR-32
SAMN21501776	ATAC-Seq			
SAMN21523907	ATAC-Seq			
SAMN21555182	Histone	TF1	CVCL:0559	TF-1
SAMN21889458	TFs and others	SHSY5Y	CVCL:0019	SH-SY5Y
SAMN22227079	TFs and others	HT115	CVCL:2520	HT115
SAMN22404978	ATAC-Seq	HeLa	CVCL:0030	HeLa
SAMN22560682	Histone			
SAMN22569474	ATAC-Seq	RPE-1	CVCL:4388	hTERT-RPE1
SAMN22820375	ATAC-Seq	Karpas422	CVCL:1325	Karpas-422
SAMN22841654	ATAC-Seq			
SAMN22985832	ATAC-Seq			
SAMN23009692	Histone			
SAMN23012531	ATAC-Seq	SKBR3	CVCL:0033	SK-BR-3
SAMN23297536	Histone	GI-ME-N	CVCL:1232	GI-ME-N
SAMN23309372	TFs and others	TTC549	CVCL:8005	TTC-549
SAMN23514753	Histone			
SAMN23958106	ATAC-Seq	THP-1	CVCL:0006	THP-1
SAMN24146407	ATAC-Seq	HaCat	CVCL:0038	HaCaT
SAMN24247613	ATAC-Seq			
SAMN24273144	Histone			
SAMN24273174	ATAC-Seq			
SAMN24320442	ATAC-Seq			
SAMN24497338	ATAC-Seq			
SAMN24501934	ATAC-Seq	AC7		
SAMN24726646	ATAC-Seq	H1975	CVCL:1511	NCI-H1975
SAMN24776693	Histone			
SAMN24776737	ATAC-Seq			
SAMN24812211	ATAC-Seq	AsPC-1	CVCL:0152	AsPC-1
SAMN25042836	ATAC-Seq			
SAMN25068126	ATAC-Seq			
SAMN25242903	ATAC-Seq	HUDEP2	CVCL:VI06	HUDEP-2
SAMN25246648	ATAC-Seq			
SAMN25248181	ATAC-Seq	A375	CVCL:0132	A-375
SAMN25280644	ATAC-Seq			
SAMN25810158	Histone			
SAMN26024431	ATAC-Seq	HEK293T	CVCL:0063	HEK293T
SAMN26086460	ATAC-Seq			
SAMN26226108	ATAC-Seq	OCI-AML3	CVCL:1844	OCI-AML-3
SAMN26245495	ATAC-Seq	NCI-H526	CVCL:1569	NCI-H526
SAMN26245508	TFs and others	NCI-H526	CVCL:1569	NCI-H526
SAMN26543158	ATAC-Seq			
SAMN26814360	TFs and others			
SAMN26853186	ATAC-Seq			
SAMN27110794	TFs and others	Karpas-422	CVCL:1325	Karpas-422
SAMN27505541	ATAC-Seq			
SAMN27567848	Histone	CT27	CVCL:A7AZ	CT27
SAMN27570519	TFs and others	SUPB15	CVCL:0103	SUP-B15
SAMN27673430	ATAC-Seq			
SAMN28103025	ATAC-Seq			
SAMN28160998	ATAC-Seq	PANC1	CVCL:0480	PANC-1
SAMN28175412	ATAC-Seq	SHSY5Y	CVCL:0019	SH-SY5Y
SAMN28188743	ATAC-Seq	BE(2)-C	CVCL:0529	SK-N-BE(2)-C
SAMN28203109	ATAC-Seq	SK-N-BE(2)C	CVCL:0529	SK-N-BE(2)-C
