SRX7262452	hg38	ATAC-Seq	ATAC-Seq	Others	Bladder cancer	NA	46067636,63.6,22.9,35670	GSM4201674: ATAC-seq from Luminal2/BMP k.o CAF; Homo sapiens; ATAC-seq	source_name=Human bladder tumor organoid	subtype=luminal	tissue=Bladder tumor	passages=7-10	genotype=wild type	description=BMP4, 5 were knocked out in surrounding reconstituted CAF
SRX8012899	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	iPS cells	NA	68221040,95.3,48.7,65651	GSM4437172: ATAC P10 NM REP 2; Homo sapiens; ATAC-seq	source_name=human fibroblasts	cell type=human naive induced pluripotent stem cells	passages=Passage 10
SRX8020390	hg38	ATAC-Seq	ATAC-Seq	Neural	Hippocampus	MeSH Description=A curved elevation of GRAY MATTER extending the entire length of the floor of the TEMPORAL HORN of the LATERAL VENTRICLE (see also TEMPORAL LOBE). The hippocampus proper, subiculum, and DENTATE GYRUS constitute the hippocampal formation. Sometimes authors include the ENTORHINAL CORTEX in the hippocampal formation.	81062430,89.4,17.9,15393	GSM4441727: BulkATAC Control Hippocampus 3; Homo sapiens; ATAC-seq	source_name=Primary brain samples acquired post-mortem, Hippocampus	tissue=brain	brain region=Hippocampus
SRX8080382	hg38	ATAC-Seq	ATAC-Seq	Breast	Mammary gland ductal carcinoma	NA	50723283,89.7,91.1,36153	GSM4459514: T47D WT clone2 E2 ATACseq; Homo sapiens; ATAC-seq	source_name=mammary gland ductal carcinoma	parental cell line=T-47D	esr1 genotype=WT	treatment=10 nM E2 1hr	lab of origin=Gertz
SRX8083182	hg38	ATAC-Seq	ATAC-Seq	Blood	Naive B cells	NA	43313355,86.0,57.8,37263	GSM4460586: CVID3 21pos; Homo sapiens; ATAC-seq	source_name=primary cells	cell type=CD21positive naive B cells	health status=CVID patient
SRX8089944	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived pancreatic cells	NA	77831203,68.6,42.5,31492	GSM4463083: Cyt49 PP2 shPDX1.ATAC-Seq.replicate.2; Homo sapiens; ATAC-seq	source_name=Cyt49 shPDX1	cell line=Cyt49	cell type=differentiated hESCs	developmental stage=Late pancreatic progenitor
SRX8090684	hg38	ATAC-Seq	ATAC-Seq	Others	Synoviocytes	MeSH Description=Cells on the luminal surface of the SYNOVIAL MEMBRANE. Type A synoviocytes are MACROPHAGES responsible for waste removal from the joint cavity. Fibroblast-like type B synoviocytes are involved in production of joint matrix constituents (e.g., HYALURONAN; COLLAGEN; and FIBRONECTIN).	82690761,87.6,8.1,72934	GSM4468010: DMSO IL1b 1387; Homo sapiens; ATAC-seq	source_name=Fibroblast like Synoviocytes	diagnosis=Rheumatoid arthritis	cell type=Fibroblast like Synoviocytes	treatment=DMSO and IL1b	donor=1387
SRX8155447	hg38	ATAC-Seq	ATAC-Seq	Blood	Mast Cells	MeSH Description=Granulated cells that are found in almost all tissues, most abundantly in the skin and the gastrointestinal tract. Like the BASOPHILS, mast cells contain large amounts of HISTAMINE and HEPARIN. Unlike basophils, mast cells normally remain in the tissues and do not circulate in the blood. Mast cells, derived from the bone marrow stem cells, are regulated by the STEM CELL FACTOR.	35067077,71.0,20.7,65383	GSM4490600: D816+NAG-2; Homo sapiens; ATAC-seq	source_name=Mast cells	cell type=ROSA Kit D816V mast cell line	passage=10 to 15	treatment=20 mM NAG (or GlcNAc) for 24h
SRX8555984	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived gut tube	NA	67434582,70.7,20.3,42605	GSM4618472: Cyt49 GT.ATAC-Seq.replicate.1.merged; Homo sapiens; ATAC-seq	source_name=Cyt49 Control	cell type=differentiated hESCs	development stage=Gut tube cells
SRX8157942	hg38	ATAC-Seq	ATAC-Seq	Blood	RS 411	NA	146561867,93.8,45.1,59328	GSM4491145: RS411 NT; Homo sapiens; ATAC-seq	source_name=B-ALL cell line	tissue=bone marrow
SRX8272895	hg38	ATAC-Seq	ATAC-Seq	Blood	BLaER1	NA	128541636,99.4,63.7,50849	GSM3791278: ATAC 96h rep1; Homo sapiens; ATAC-seq	source_name=BLaER	cell type=RCH-ACV stably expressing estrogen inducible C/EBPa	extract_protocol=Nextera Tn5 Transposase-1x NEBNext High-Fidelity 2x PCR Master Mix	treatment=Beta-estradiol (100nM) treatment 96h
SRX8358268	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	HCASMC	NA	27426821,61.0,11.0,22240	GSM4558339: ATAC-Seq AHR KD; Homo sapiens; ATAC-seq	source_name=HCASMC_ATAC-Seq AHR KD	cell line=Human Coronary Artery Smooth Muscle Cells (HCASMC)	tissue=coronary artery	genotype/treatment=AHR knockdown
SRX8379121	hg38	ATAC-Seq	ATAC-Seq	Gonad	BIN-67	NA	62151074,88.0,37.9,7719	GSM4564167: BIN67 Control ATACseq Rep1; Homo sapiens; ATAC-seq	source_name=Cell Line	cell line=BIN67	transfected vector=Control
SRX8456532	hg38	ATAC-Seq	ATAC-Seq	Blood	Neutrophils	MeSH Description=Immature neutrophils.	17008472,73.4,2.8,1294	Control Donor 4-2	isolate=D4	age=30-40	biomaterial_provider=Yang Lab, Stanford Emergency Department	sex=female	tissue=blood	cell_type=neutrophils	treatment=Control Donor 4-2
SRX8466021	hg38	ATAC-Seq	ATAC-Seq	Blood	Erythroblasts	MeSH Description=Immature, nucleated ERYTHROCYTES occupying the stage of ERYTHROPOIESIS that follows formation of ERYTHROID PRECURSOR CELLS and precedes formation of RETICULOCYTES. The normal series is called normoblasts. Cells called MEGALOBLASTS are a pathologic series of erythroblasts.	54607045,75.0,23.7,27557	GSM4589708: HDAC5kd poly 1 [ATAC-Seq]; Homo sapiens; ATAC-seq	source_name=polychromatic erythroblasts	developmental stage=polychromatic	treatment=HDAC5 knockdown	cell type=PB-derived HSC cultured cells
SRX8572498	hg38	ATAC-Seq	ATAC-Seq	Others	SW 872	Primary Tissue=Unknown|Tissue Diagnosis=Liposarcoma	33440126,81.9,23.5,34945	GSM4625362: SW872 CAMTA1 replicate 1 (atacseq); Homo sapiens; ATAC-seq	source_name=SW872 liposarcoma cells ATCC	cell line=SW872 liposarcoma cells
SRX8588605	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Pulmonary artery endothelial cells	NA	38305834,51.3,6.3,13684	GSM4629066: ATAC-seq Pulmonary artery endothelial cells - LSS siKLF RepA; Homo sapiens; ATAC-seq	source_name=Pulmonary artery endothelial cells	cell type=Pulmonary artery endothelial cells	treatment=siRNA targeting KLF2/4
SRX8599986	hg38	ATAC-Seq	ATAC-Seq	Digestive tract	HT-29	Primary Tissue=Colon|Tissue Diagnosis=Adenocarcinoma	63060989,81.8,78.2,32775	GSM4633142: HT29 LM 3; Homo sapiens; ATAC-seq	source_name=HT29	tissue=Liver Metastases	morphology=epithelial
SRX8615896	hg38	ATAC-Seq	ATAC-Seq	Blood	SEM	Primary Tissue=Blood|Tissue Diagnosis=Leukemia	92174438,99.2,6.4,8166	GSM4636524: ATAC-SEM-CTCF-AID no IAA Replicate 27; Homo sapiens; ATAC-seq	source_name=SEM cell line	cell line=SEM	cell type=Human B Lineage Acute Lymphoblastic Leukemia SEM cell carrying bi-allelic miniAID-mClover3 knockin tags	treatment=no
SRX8696831	hg38	ATAC-Seq	ATAC-Seq	Neural	Anterior cingulate cortex	NA	27790585,94.4,8.8,45552	GSM4663519: 1927 ACC AP; Homo sapiens; ATAC-seq	source_name=FACS-sorted neuronal (NeuN+) nuclei	brain bank tissue source=HBCC	individual id=1927	tissue=anterior cingulate cortex (ACC)	dx=control	manner of death=natural	gender=male	age of death=49	race=African American	ph=6.14
SRX9135546	hg38	ATAC-Seq	ATAC-Seq	Breast	MDA-MB-231	Primary Tissue=Breast|Site of Extraction=Effusion, Pleural|Tissue Diagnosis=Adenocarcinoma	22852199,80.9,65.5,2696	ATAC sequencing for chromatin accessibility	isolate=not applicable	age=not applicable	biomaterial_provider=Lajos Pusztai, Yale Cancer Center	sex=female	tissue=breast cancer	cell_line=MDA-MB-231
SRX9135547	hg38	ATAC-Seq	ATAC-Seq	Breast	MDA-MB-231	Primary Tissue=Breast|Site of Extraction=Effusion, Pleural|Tissue Diagnosis=Adenocarcinoma	32536512,76.6,53.0,1317	ATAC sequencing for chromatin accessibility	isolate=not applicable	age=not applicable	biomaterial_provider=Lajos Pusztai, Yale Cancer Center	sex=female	tissue=breast cancer	cell_line=MDA-MB-231
SRX9135549	hg38	ATAC-Seq	ATAC-Seq	Breast	MDA-MB-231	Primary Tissue=Breast|Site of Extraction=Effusion, Pleural|Tissue Diagnosis=Adenocarcinoma	26431645,74.8,40.3,9840	ATAC sequencing for chromatin accessibility	isolate=not applicable	age=not applicable	biomaterial_provider=Lajos Pusztai, Yale Cancer Center	sex=female	tissue=breast cancer	cell_line=MDA-MB-231
SRX9135550	hg38	ATAC-Seq	ATAC-Seq	Breast	MDA-MB-231	Primary Tissue=Breast|Site of Extraction=Effusion, Pleural|Tissue Diagnosis=Adenocarcinoma	49693045,78.2,50.4,19571	ATAC sequencing for chromatin accessibility	isolate=not applicable	age=not applicable	biomaterial_provider=Lajos Pusztai, Yale Cancer Center	sex=female	tissue=breast cancer	cell_line=MDA-MB-231
SRX9135551	hg38	ATAC-Seq	ATAC-Seq	Breast	MDA-MB-231	Primary Tissue=Breast|Site of Extraction=Effusion, Pleural|Tissue Diagnosis=Adenocarcinoma	68822789,83.4,72.6,23151	ATAC sequencing for chromatin accessibility	isolate=not applicable	age=not applicable	biomaterial_provider=Lajos Pusztai, Yale Cancer Center	sex=female	tissue=breast cancer	cell_line=MDA-MB-231
SRX9135552	hg38	ATAC-Seq	ATAC-Seq	Breast	MDA-MB-231	Primary Tissue=Breast|Site of Extraction=Effusion, Pleural|Tissue Diagnosis=Adenocarcinoma	27137011,78.5,49.3,2050	ATAC sequencing for chromatin accessibility	isolate=not applicable	age=not applicable	biomaterial_provider=Lajos Pusztai, Yale Cancer Center	sex=female	tissue=breast cancer	cell_line=MDA-MB-231
SRX8952022	hg38	ATAC-Seq	ATAC-Seq	Epidermis	451Lu	Primary Tissue=Skin|Tissue Diagnosis=Melanoma	19245080,3.4,1.1,140	GSM4728670: ATAC 451Lu Parental Rep1; Homo sapiens; ATAC-seq	source_name=Melanoma cell line	parental or resistant=parental	cell line=451Lu
SRX8955897	hg38	ATAC-Seq	ATAC-Seq	Lung	NCI-H82	Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Small Cell	12834979,34.3,31.8,368	GSM4729162: LacZ-overexpressed NCI-H82 cells 1 [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=small cell lung cancer	cell line=NCI-H82	cell type=small cell lung cancer cell line	overexpression vector=pLEX_307-LacZ	grna vector=N/A	cas9 vector=lentiCas9-Blast
SRX8994913	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Left ventricle	NA	69194586,71.7,15.9,31398	GSM4742872: Adult6 [bulk ATACseq human]; Homo sapiens; ATAC-seq	source_name=human left ventricle heart muscle	tissue=up to 1g of left ventricular heart muscle	diagnosis=healthy non-cardiovascular disease	developmental stage=adult	Sex=male
SRX9005790	hg38	ATAC-Seq	ATAC-Seq	Epidermis	Basal cell carcinoma	NA	33718998,80.6,2.3,682	GSM4745490: BCC 2 ATACseq ItgA6+LYPD3-TACSTD2-LY6D- rep1; Homo sapiens; ATAC-seq	source_name=human BCC_2	protein expression=ItgA6+ LYPD3+ TACSTD2+ LY6D+/-
SRX9110851	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	HUVEC	Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal	62543176,33.6,28.9,29933	GSM4777218: mid-aged rep2 (ATAC-seq); Homo sapiens; ATAC-seq	source_name=HUVECs	cell type=HUVECs	age=mid-aged
SRX9152777	hg38	ATAC-Seq	ATAC-Seq	Blood	L-1236	Primary Tissue=Blood|Tissue Diagnosis=Hodgkin's Lymphoma	126215527,94.3,29.2,102064	GSM4795753: L1236-shH2A.B rep2; Homo sapiens; ATAC-seq	source_name=L1236 cell line	cell line=L1236
SRX9271223	hg38	ATAC-Seq	ATAC-Seq	Blood	Plasma Cells	MeSH Description=Specialized forms of antibody-producing B-LYMPHOCYTES. They synthesize and secrete immunoglobulin. They are found only in lymphoid organs and at sites of immune responses and normally do not circulate in the blood or lymph. (Rosen et al., Dictionary of Immunology, 1989, p169 &amp; Abbas et al., Cellular and Molecular Immunology, 2d ed, p20)	14863015,96.2,11.5,12958	GSM4826471: PC 3; Homo sapiens; ATAC-seq	source_name=tonsil	tissue=tonsil	facs markers=CD20+CD44+CD10-CD38+CD27+	cell type=Plasma cell
SRX9316233	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	PGCLC	NA	50468117,35.4,37.1,8190	GSM4836831: ATAC hPGCLC d4 r1; Homo sapiens; ATAC-seq	source_name=Human primordial germ cell-like cells	cell source=hESC-derived	cell type=Human primordial germ cell-like cells
SRX9345670	hg38	ATAC-Seq	ATAC-Seq	Blood	Erythroid Cells	MeSH Description=The series of cells in the red blood cell lineage at various stages of differentiation.	39448895,98.5,57.5,29251	GSM4849045: ATAC Ery iPSC INV Clone2 rep1; Homo sapiens; ATAC-seq	source_name=iPSC diffrentiation to Erythroid cells	cell type=Erythroid	Sex=female	differentiation day=Day 21	genotype=Inversion of C-SNV promoter
SRX9372385	hg38	ATAC-Seq	ATAC-Seq	Lung	NCI-H524	Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Small Cell	38369234,98.2,5.5,45735	GSM4869022: H524 KRAS Dox SCH-N1; Homo sapiens; ATAC-seq	source_name=H524 cells treated with Dox +/- SCH	cell line=H524	treatment=Dox+SCH
SRX9401166	hg38	ATAC-Seq	ATAC-Seq	Pancreas	hTERT-HPNE	Tissue=Pancreas, Duct|Cell Type=Intermediary Cells Formed During Acinar-To-Ductal Metaplasia|Disease=Normal	8153906,93.5,19.4,27717	GSM4873402: HPNE ARID1A KO ATAC rep1; Homo sapiens; ATAC-seq	source_name=HPNE	genotype=ARID1A-KO
SRX9402792	hg38	ATAC-Seq	ATAC-Seq	Blood	Kasumi-1	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Myelogenous	103935413,58.8,62.6,12122	GSM4873756: Kasumi-1 parental 2 [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=Kasumi-1 cells	cell line=Kasumi-1	genotype/variation=Parental	treatment=Untreated
SRX9446222	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC H9	NA	27379286,88.3,26.9,706	GSM4886739: hESC DMSO ATAC-seq rep3; Homo sapiens; ATAC-seq	source_name=hESC H9	cell type=human embryonic stem cells	cell line=H9	treatment=DMSO
SRX9500372	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	247582776,37.6,27.4,49177	ATACSeq of HG001 using OMNI-ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9500460	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	145115125,40.4,26.1,37660	ATACSeq of HG001 using OMNI-ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9500461	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	194305750,39.7,26.4,44418	ATACSeq of HG001 using OMNI-ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9500503	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	35704218,40.1,21.3,738	ATACSeq of HG001 using ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9500533	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	112939592,56.9,29.1,26412	ATACSeq of HG001 using OMNI-ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9500544	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	55588567,41.6,23.4,4095	ATACSeq of HG001 using ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9500555	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	234722772,64.2,36.9,40922	ATACSeq of HG001 using OMNI-ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9500566	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	193189332,43.0,27.6,12081	ATACSeq of HG001 using ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9500577	hg38	ATAC-Seq	ATAC-Seq	Blood	B cells	NA	460847607,57.8,45.9,35274	ATACSeq of HG001 using OMNI-ATACseq	isolate=NA12878	age=NA	biomaterial_provider=NIST	sex=female	tissue=B-Lymphocyte
SRX9521096	hg38	ATAC-Seq	ATAC-Seq	Blood	T-ALL	NA	90742387,69.6,34.6,22479	GSM4911530: ATACseq 3; Homo sapiens; ATAC-seq	source_name=Human ALL Clinical Sample	cancer type=Human ALL Clinical Sample	cell type=primary acute lymphoblastic leukemia cells
SRX9539359	hg38	ATAC-Seq	ATAC-Seq	Lung	Lung adenocarcinoma	NA	109354747,97.3,0.1,2301	GSM4923397: 482 (PDX); Homo sapiens; ATAC-seq	source_name=PDX lung adenocarcinoma	tissue=lung adenocarcinoma	genotype=n/a	strain=none
SRX9620051	hg38	ATAC-Seq	ATAC-Seq	Others	Thyroid tumor	NA	42813640,70.7,11.8,50921	GSM4953488: ATAC-Seq F100-C33-T1; Homo sapiens; ATAC-seq	source_name=Thyroid tumor	tissue=Tumor1	patient id=C33	disease state=Tumor
SRX9702244	hg38	ATAC-Seq	ATAC-Seq	Kidney	786-M1A	NA	56774365,98.4,34.5,79269	GSM4979887: ATAC-seq shPAX8-1 Rep1; Homo sapiens; ATAC-seq	source_name=ccRCC cell line	cell line=786-M1A	construct=shPAX8-1
SRX9705934	hg38	ATAC-Seq	ATAC-Seq	Unclassified	Unclassified	NA	77500714,73.0,63.4,1949	GSM4981519: SF 415B: ATAC-seq, Primary FLS, unstimulated; Homo sapiens; ATAC-seq	source_name=Primary FLS	sample id=SF_415B	stimulation=None	joint=MCP	disease state=Rheumatoid Arthritis
SRX9709852	hg38	ATAC-Seq	ATAC-Seq	Blood	Peripheral blood	NA	187067743,97.4,10.4,0	GSM4982180: CLL6 4: RIC/Ibrutinib relapse patient 6 timepoint 4; Homo sapiens; ATAC-seq	source_name=Peripheral blood	tissue=blood	disease state=CLL active disease	wbc=12	treatment=Ibrutinib 21 months
SRX9711915	hg38	ATAC-Seq	ATAC-Seq	Neural	Glioblastoma	MeSH Description=A malignant form of astrocytoma histologically characterized by pleomorphism of cells, nuclear atypia, microhemorrhage, and necrosis. They may arise in any region of the central nervous system, with a predilection for the cerebral hemispheres, basal ganglia, and commissural pathways. Clinical presentation most frequently occurs in the fifth or sixth decade of life with focal neurologic signs or seizures.	186253556,98.7,73.0,0	GSM4983567: pCGY2937 recurrent; Homo sapiens; ATAC-seq	source_name=patient-derived pediatric glioblastoma	diagnosis=Recurrent glioblastoma	tissue=glioblastoma
SRX9743772	hg38	ATAC-Seq	ATAC-Seq	Neural	Glioblastoma stem cells	NA	12212563,91.3,20.7,13628	GSM4988707: Hs, U3263MG-1; Homo sapiens; ATAC-seq	source_name=glioblastoma stem cells	tissue=brain	cell type=glioblastoma stem cells	growth protocol=Established and sustained in serum-free medium
SRX9791195	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Mitral Valve	MeSH Description=The valve between the left atrium and left ventricle of the heart.	65161813,98.5,25.7,3651	ATAC-Seq library prepared from DV1846 sample	isolate=DV1846	age=67	biomaterial_provider=Prof. Niels Voigt, Institute of Pharmacology and Toxicology, University Medical Center Göttingen, Georg-August University Göttingen, Robert-Koch-Straße 42a, 37075 Göttingen, Germany	sex=male	tissue=Mitral Valve	replicate=1	disease=Mitral Valve Insufficiency	disease_stage=III
SRX9794606	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	iPSC derived erythroid cells?	NA	43424600,80.1,0.6,20973	GSM5008026: ATACSeq ARID1BKD iPSCErythroid Hypoxia-rep1; Homo sapiens; ATAC-seq	source_name=hiPSC-derived erythroid cells from human non-CMS cells with ARID1B-KD	cell type=hiPSC-derived erythroid cells	knockdown=ARID1B-KD	oxygen status=hypoxia
SRX9796960	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived endodermal cells	NA	158320605,0.0,18.9,160304	GSM5008356: human DE Day5 Rep1 ATAC; Homo sapiens; ATAC-seq	source_name=Differentiation of H1 - Human Embryonic Stem cells into Definitive Endoderm Cells	differentiation=Definitive Endoderm	day of differentiation=Day 5
SRX9816622	hg38	ATAC-Seq	ATAC-Seq	Neural	SK-N-AS	Primary Tissue=Brain|Tissue Diagnosis=Neuroblastoma	146365674,98.0,37.8,11652	GSM5012393: SKNAS-Vel-01; Homo sapiens; ATAC-seq	source_name=cell line derived from xenograft tumor	cell line=SKNAS	treatment=xenografts were treated with vehicle.
